fitness,player_life,enemy_life,time,group,repetition,enemy,gain
90.86901301948917,64.60000000000034,0,2732,1729458250-5956-best_individual,3,5,64.60000000000034
90.86901301948917,64.60000000000034,0,2732,1729458250-5956-best_individual,4,5,64.60000000000034
-4.897839799950911,0,100,2866,1729458250-5956-best_individual,0,6,-100
-4.897839799950911,0,100,2866,1729458250-5956-best_individual,1,6,-100
-4.897839799950911,0,100,2866,1729458250-5956-best_individual,2,6,-100
-4.897839799950911,0,100,2866,1729458250-5956-best_individual,3,6,-100
-4.897839799950911,0,100,2866,1729458250-5956-best_individual,4,6,-100
92.81833644349736,79.6000000000002,0,2829,1729458250-5956-best_individual,0,7,79.6000000000002
92.81833644349736,79.6000000000002,0,2829,1729458250-5956-best_individual,1,7,79.6000000000002
92.81833644349736,79.6000000000002,0,2829,1729458250-5956-best_individual,2,7,79.6000000000002
92.81833644349736,79.6000000000002,0,2829,1729458250-5956-best_individual,3,7,79.6000000000002
92.81833644349736,79.6000000000002,0,2829,1729458250-5956-best_individual,4,7,79.6000000000002
12.531939858864868,0,80.0,2763,1729458250-5956-best_individual,0,8,-80.0
12.531939858864868,0,80.0,2763,1729458250-5956-best_individual,1,8,-80.0
12.531939858864868,0,80.0,2763,1729458250-5956-best_individual,2,8,-80.0
12.531939858864868,0,80.0,2763,1729458250-5956-best_individual,3,8,-80.0
12.531939858864868,0,80.0,2763,1729458250-5956-best_individual,4,8,-80.0
21.222347676777343,0,70.0,2677,1729458251-12032-best_individual,0,1,-70.0
21.222347676777343,0,70.0,2677,1729458251-12032-best_individual,1,1,-70.0
21.222347676777343,0,70.0,2677,1729458251-12032-best_individual,2,1,-70.0
21.222347676777343,0,70.0,2677,1729458251-12032-best_individual,3,1,-70.0
21.222347676777343,0,70.0,2677,1729458251-12032-best_individual,4,1,-70.0
91.57237888630937,72,0,2722,1729458251-12032-best_individual,0,2,72
91.57237888630937,72,0,2722,1729458251-12032-best_individual,1,2,72
91.57237888630937,72,0,2722,1729458251-12032-best_individual,2,2,72
91.57237888630937,72,0,2722,1729458251-12032-best_individual,3,2,72
91.57237888630937,72,0,2722,1729458251-12032-best_individual,4,2,72
88.29744140538644,44,0,2553,1729458251-12032-best_individual,0,3,44
88.29744140538644,44,0,2553,1729458251-12032-best_individual,1,3,44
88.29744140538644,44,0,2553,1729458251-12032-best_individual,2,3,44
88.29744140538644,44,0,2553,1729458251-12032-best_individual,3,3,44
88.29744140538644,44,0,2553,1729458251-12032-best_individual,4,3,44
21.273152252412803,0,70.0,2693,1729458251-12032-best_individual,0,4,-70.0
21.273152252412803,0,70.0,2693,1729458251-12032-best_individual,1,4,-70.0
21.273152252412803,0,70.0,2693,1729458251-12032-best_individual,2,4,-70.0
21.273152252412803,0,70.0,2693,1729458251-12032-best_individual,3,4,-70.0
21.273152252412803,0,70.0,2693,1729458251-12032-best_individual,4,4,-70.0
90.9826657329815,65.20000000000033,0,2746,1729458251-12032-best_individual,0,5,65.20000000000033
90.9826657329815,65.20000000000033,0,2746,1729458251-12032-best_individual,1,5,65.20000000000033
90.9826657329815,65.20000000000033,0,2746,1729458251-12032-best_individual,2,5,65.20000000000033
90.9826657329815,65.20000000000033,0,2746,1729458251-12032-best_individual,3,5,65.20000000000033
90.9826657329815,65.20000000000033,0,2746,1729458251-12032-best_individual,4,5,65.20000000000033
-4.969813299576001,0,100,2856,1729458251-12032-best_individual,0,6,-100
-4.969813299576001,0,100,2856,1729458251-12032-best_individual,1,6,-100
-4.969813299576001,0,100,2856,1729458251-12032-best_individual,2,6,-100
-4.969813299576001,0,100,2856,1729458251-12032-best_individual,3,6,-100
