,index,group,enemies_slain,gain,player_life,enemy_life,time,index,group,enemies_slain,gain,player_life,enemy_life,time
13,2,1729004213-97270-best_individual,3.0,-78.19999999999908,18.975000000000115,28.75,417.0,36,1729002228-94392-best_individual,4.0,-110.19999999999928,17.47500000000009,31.25,269.5
14,22,1729002159-94396-best_individual,3.0,-122.39999999999941,18.450000000000074,33.75,265.5,21,1729003514-95088-best_individual,3.0,-117.79999999999946,17.77500000000007,32.5,321.625
15,24,1729003514-95083-best_individual,3.0,-123.59999999999945,18.300000000000068,33.75,275.5,26,1729002189-94391-best_individual,3.0,-120.19999999999943,17.475000000000072,32.5,313.25
16,21,1729003514-95088-best_individual,3.0,-117.79999999999946,17.77500000000007,32.5,321.625,28,1729003560-95082-best_individual,4.0,-120.7999999999992,14.9000000000001,30.0,252.875
17,29,1729000709-91953-best_individual,3.0,-129.59999999999943,17.55000000000007,33.75,301.375,22,1729002159-94396-best_individual,3.0,-122.39999999999941,18.450000000000074,33.75,265.5
18,26,1729002189-94391-best_individual,3.0,-120.19999999999943,17.475000000000072,32.5,313.25,24,1729003514-95083-best_individual,3.0,-123.59999999999945,18.300000000000068,33.75,275.5
19,6,1729003546-95085-best_individual,3.0,-90.19999999999943,17.475000000000072,28.75,321.75,29,1729000709-91953-best_individual,3.0,-129.59999999999943,17.55000000000007,33.75,301.375
20,1,1729002228-94388-best_individual,3.0,-182.39999999999947,17.200000000000067,40.0,258.25,38,1729000707-91960-best_individual,2.0,-145.39999999999966,16.825000000000042,35.0,295.5
21,34,1729003518-95090-best_individual,3.0,-153.19999999999948,17.100000000000065,36.25,280.5,34,1729003518-95090-best_individual,3.0,-153.19999999999948,17.100000000000065,36.25,280.5
22,3,1729000400-91956-best_individual,3.0,-106.99999999999946,15.375000000000068,28.75,317.25,7,1729000706-91958-best_individual,4.0,-153.3999999999992,12.075000000000099,31.25,246.375
23,12,1729003530-95081-best_individual,3.0,-161.79999999999924,7.275000000000095,27.5,269.25,35,1729000706-91951-best_individual,2.0,-155.39999999999966,16.825000000000042,36.25,294.375
24,20,1729002171-94394-best_individual,3.0,-267.5999999999995,6.550000000000061,40.0,270.875,15,1729000677-91954-best_individual,2.0,-159.39999999999966,16.325000000000042,36.25,297.0
25,0,1729004207-97268-best_individual,2.0,-225.3999999999997,16.825000000000042,45.0,259.875,12,1729003530-95081-best_individual,3.0,-161.79999999999924,7.275000000000095,27.5,269.25
26,33,1729004219-97263-best_individual,2.0,-225.3999999999997,16.825000000000042,45.0,263.125,37,1729000405-91959-best_individual,2.0,-165.79999999999967,14.27500000000004,35.0,301.5
27,23,1729004208-97269-best_individual,2.0,-225.3999999999997,16.825000000000042,45.0,263.25,14,1729002169-94393-best_individual,2.0,-180.79999999999967,13.65000000000004,36.25,240.875
28,13,1729004221-97264-best_individual,2.0,-225.3999999999997,16.825000000000042,45.0,272.0,1,1729002228-94388-best_individual,3.0,-182.39999999999947,17.200000000000067,40.0,258.25
29,27,1729004214-97271-best_individual,2.0,-225.3999999999997,16.825000000000042,45.0,276.375,33,1729004219-97263-best_individual,2.0,-225.3999999999997,16.825000000000042,45.0,263.125
30,5,1729004209-97272-best_individual,2.0,-225.3999999999997,16.825000000000042,45.0,277.25,0,1729004207-97268-best_individual,2.0,-225.3999999999997,16.825000000000042,45.0,259.875
31,35,1729000706-91951-best_individual,2.0,-155.39999999999966,16.825000000000042,36.25,294.375,27,1729004214-97271-best_individual,2.0,-225.3999999999997,16.825000000000042,45.0,276.375
